AATF,PA2G4
AATF,POLR1A
AATF,POLR1B
AATF,DDX54
AATF,POLR1E
AATF,MYBBP1A
AATF,DKC1
AATF,ABT1
AATF,CEBPZ
AATF,PDCD11
AATF,POLR2J
AATF,MAGED1
AATF,CEBPZ
AATF,MAGED1
AATF,PA2G4
AATF,DDX54
AATF,DKC1
AATF,POLR2J
AATF,MYBBP1A
AATF,ABT1
AATF,POLR1A
AATF,PDCD11
AATF,POLR1B
AATF,POLR1E
ABT1,AATF
ABT1,DDX54
ABT1,DDX54
ABT1,POLR1E
ABT1,PDCD11
ABT1,AATF
ABT1,PDCD11
ABT1,POLR1E
AKT1,GATA3
AKT1,DNMT1
AKT1,MKRN1
AKT1,SOX2
AKT1,NDRG1
AKT1,SMAD4
AKT1,CCNB1
AKT1,NFE2L2
AKT1,SNAI1
AKT1,MYC
AKT1,EZH2
AKT1,HSPA5
AKT1,IGFBP2
AKT1,ATF4
AKT1,NOTCH4
AKT1,ZFP36L1
AKT1,PHF20
AKT1,GJA1
AKT1,FOXO3
AKT1,LRP2
AKT1,KIT
AKT1,TRP53
AKT1,VIM
AKT1,KLF4
AKT1,ID2
AKT1,IGF2
AKT1,POU5F1
AKT1,TWIST1
AKT1,PDCD4
AKT1,ZEB1
AKT1,STAT5B
AKT1,TRIB3
AKT1,SREBF1
AKT1,HSP90AA1
AKT1,STAT5A
AKT1,HSP90B1
AKT1,CTNNB1
AKT1,JUN
AKT1,HTT
AKT1,RELA
AKT1,IKBKB
AKT1,ATF2
AKT1,CCND1
AKT1,TCL1
AKT1,NR4A1
AKT1,BMI1
AKT1,VEGFA
AKT1,SMAD3
AKT1,ANXA5
AKT1,FN1
AKT1,RAPGEF3
AKT1,BRCA1
AKT1,YBX1
AKT1,FOXO1
AKT1,NOTCH1
AKT1,FOXA2
AKT1,ATM
AKT1,TGFB1
AKT1,CDKN1A
AKT1,HIF1A
AKT1,EGR1
AKT1,MDM2
AKT1,HSPB1
AKT1,BRPF1
AKT1,PDK1
AKT1,SMAD2
AKT1,PARP1
AKT1,NRG1
AKT1,MAPK11
AKT1,ILK
AKT1,MAPK13
AKT1,MAPK3
AKT1,PML
AKT1,TXNIP
AKT1,SIRT1
AKT1,NCOR1
AKT1,TGFB1
AKT1,STAT5A
AKT1,DNMT1
AKT1,MAPK13
AKT1,HSPB1
AKT1,NDRG1
AKT1,KIT
AKT1,PDK1
AKT1,CTNNB1
AKT1,NOTCH4
AKT1,BRCA1
AKT1,HSP90B1
AKT1,MDM2
AKT1,SREBF1
AKT1,ID2
AKT1,HIF1A
AKT1,ZFP36L1
AKT1,MYC
AKT1,NR4A1
AKT1,CDKN1A
AKT1,ZEB1
AKT1,POU5F1
AKT1,SMAD4
AKT1,RELA
AKT1,PARP1
AKT1,VIM
AKT1,BMI1
AKT1,NOTCH1
AKT1,ANXA5
AKT1,MKRN1
AKT1,ILK
AKT1,IKBKB
AKT1,SMAD3
AKT1,TCL1
AKT1,TWIST1
AKT1,TRIB3
AKT1,PHF20
AKT1,FOXA2
AKT1,IGFBP2
AKT1,SNAI1
AKT1,FOXO3
AKT1,MAPK3
AKT1,FN1
AKT1,FOXO1
AKT1,GJA1
AKT1,NCOR1
AKT1,EGR1
AKT1,CCNB1
AKT1,NRG1
AKT1,PDCD4
AKT1,YBX1
AKT1,HTT
AKT1,LRP2
AKT1,EZH2
AKT1,PML
AKT1,MAPK11
AKT1,CCND1
AKT1,HSP90AA1
AKT1,SOX2
AKT1,HSPA5
AKT1,NFE2L2
AKT1,GATA3
AKT1,SIRT1
AKT1,IGF2
AKT1,TXNIP
AKT1,JUN
AKT1,STAT5B
AKT1,KLF4
AKT1,TRP53
AKT1,ATF4
AKT1,ATF2
